System ID,,"4483C1713"
Method name only,,"Compression_Cylindrical_Plastic_NEW"
Test type,,"Compression"
Sample file name,,"N02DPMMA"
Last test date,,"8/31/2026"
Last test time,,"5:29:21 PM"
Course,,"NPRE432"
Lab Section Number,,"02"
Group,,"D"
Material,,"PMMA"
Other Information,,""
Crosshead Speed,(mm/min),"5.00"
Geometry,,"Circular"
Diameter,(mm),"19.03"
Length,(mm),"65.04"
Final Diameter,,"0.00"
Final Length,,"0.00"
Final Specimen State,,"Fractured into multiple pieces"
Notes During Test,,""

Results Table 1
,,"1"
Maximum Force,(kN),"31.55"
Maximum Strain,(%),"50.61"

Time,Displacement,Force,Compressive strain (Displacement)
(s),(mm),(kN),(mm/mm)
"0.00","0.00","-0.002391","0.0000"
"0.50","0.04","-0.002556","0.0006350"
"1.00","0.08","0.07940","0.001284"
"1.50","0.13","0.4239","0.001925"
"2.00","0.17","0.8488","0.002566"
"2.50","0.21","1.291","0.003205"
"3.00","0.25","1.729","0.003847"
"3.50","0.29","2.208","0.004488"
"4.00","0.33","2.687","0.005128"
"4.50","0.38","3.185","0.005769"
"5.00","0.42","3.677","0.006409"
"5.50","0.46","4.184","0.007050"
"6.00","0.50","4.701","0.007692"
"6.50","0.54","5.198","0.008332"
"7.00","0.58","5.705","0.008971"
"7.50","0.63","6.207","0.009612"
"8.00","0.67","6.710","0.01025"
"8.50","0.71","7.213","0.01089"
"9.00","0.75","7.708","0.01153"
"9.50","0.79","8.221","0.01217"
"10.00","0.83","8.724","0.01282"
"10.50","0.88","9.222","0.01346"
"11.00","0.92","9.713","0.01410"
"11.50","0.96","10.20","0.01474"
"12.00","1.00","10.70","0.01538"
"12.50","1.04","11.18","0.01602"
"13.00","1.08","11.67","0.01666"
"13.50","1.13","12.16","0.01730"
"14.00","1.17","12.62","0.01794"
"14.50","1.21","13.09","0.01858"
"15.00","1.25","13.56","0.01922"
"15.50","1.29","14.02","0.01986"
"16.00","1.33","14.47","0.02050"
"16.50","1.38","14.92","0.02114"
"17.00","1.42","15.38","0.02178"
"17.50","1.46","15.82","0.02243"
"18.00","1.50","16.24","0.02307"
"18.50","1.54","16.66","0.02370"
"19.00","1.58","17.08","0.02435"
"19.50","1.63","17.50","0.02499"
"20.00","1.67","17.89","0.02563"
"20.50","1.71","18.29","0.02627"
"21.00","1.75","18.68","0.02691"
"21.50","1.79","19.06","0.02755"
"22.00","1.83","19.43","0.02819"
"22.50","1.88","19.81","0.02883"
"23.00","1.92","20.15","0.02947"
"23.50","1.96","20.52","0.03011"
"24.00","2.00","20.85","0.03075"
"24.50","2.04","21.18","0.03139"
"25.00","2.08","21.51","0.03203"
"25.50","2.13","21.83","0.03267"
"26.00","2.17","22.14","0.03332"
"26.50","2.21","22.45","0.03396"
"27.00","2.25","22.73","0.03460"
"27.50","2.29","23.02","0.03524"
"28.00","2.33","23.31","0.03588"
"28.50","2.38","23.57","0.03652"
"29.00","2.42","23.84","0.03716"
"29.50","2.46","24.09","0.03780"
"30.00","2.50","24.35","0.03844"
"30.50","2.54","24.58","0.03908"
"31.00","2.58","24.81","0.03972"
"31.50","2.63","25.05","0.04036"
"32.00","2.67","25.27","0.04100"
"32.50","2.71","25.49","0.04164"
"33.00","2.75","25.70","0.04229"
"33.50","2.79","25.90","0.04292"
"34.00","2.83","26.10","0.04356"
"34.50","2.88","26.29","0.04420"
"35.00","2.92","26.47","0.04485"
